"id","name","code"
10436,"Avra Valley","AVW"
10437,"Catalina","AVX"
10438,"Awasa Airport","AWA"
10439,"Wake Island Airfield","AWK"
10440,"West Memphis Municipal","AWM"
10441,"Awar Airport","AWR"
10442,"Andrews County","AWX"
10443,"Ahwaz Airport","AWZ"
10444,"Clayton J Lloyd","AXA"
10445,"Maxson Airfield","AXB"
10446,"Aramac Airport","AXC"
10447,"Dimokritos","AXD"
10448,"El Eden","AXM"
10449,"Chandler Field","AXN"
10450,"Spring Point Airport","AXP"
10451,"Altus Municipal","AXS"
10452,"Akita Airport","AXT"
10453,"Axum Airport","AXU"
10454,"Neil Armstrong","AXV"
10455,"Angel Fire","AXX"
10456,"Anthony Lagoon Airport","AYL"
10457,"Ayacucho Airport","AYP"
10458,"Ayers Rock Connellan","AYQ"
10459,"Ayr Airport","AYR"
10460,"Waycross Ga","AYS"
10461,"Antalya Airport","AYT"
10462,"Ayawasi Airport","AYW"
10463,"Valle","AZ1"
10464,"H. A. Clark Memorial Field","AZ2"
10465,"Glendale Municipal","AZ3"
10466,"Phoenix - Mesa Gateway","AZA"
10467,"Shahid Sadooghi","AZD"
10468,"Pablo L. Sidar","AZG"
10469,"Kalamazoo/Battle Creek International","AZO"
10470,"El Catey International","AZS"
10471,"Biddeford Municipal","B19"
10472,"Sugarloaf Regional","B21"
10473,"Bialla Airport","BAA"
10474,"Beale AFB","BAB"
10475,"Barranca de Upia Airport","BAC"
10476,"Barksdale AFB","BAD"
10477,"Barcelonnette Airport","BAE"
10478,"Barnes Municipal","BAF"
10479,"Baguio Airport","BAG"
10480,"Bahrain International","BAH"
10481,"Buenos Aires Airport","BAI"
10482,"Bina International","BAK"
10483,"Batman Airport","BAL"
10484,"Battle Mountain Airport","BAM"
10485,"Udorn AB","BAO"
10486,"Ernesto Cortissoz","BAQ"
10487,"Baker AAF","BAR"
10488,"Barth Airport","BAT"
10489,"Bauru Airport","BAU"
10490,"Baotou Airport","BAV"
10491,"Barnaul Airport","BAX"
10492,"Baia Mare Airport","BAY"
10493,"Balmaceda Airport","BBA"
10494,"Bay City Municipal","BBC"
10495,"N Eng Heliport","BBF"
10497,"Bhubaneswar Airport","BBI"
10498,"Berbera International","BBO"
10499,"Cocoa Point","BBQ"
10500,"Baillif","BBR"
10501,"Blackbushe Airport","BBS"
10502,"Berberati Airport","BBT"
10503,"Aurel Vlaicu","BBU"
10504,"Blue Bell Airport","BBX"
10505,"Bambari Airport","BBY"
10506,"Zambezi Airport","BBZ"
10507,"Gustavo Rizo","BCA"
10508,"Virginia Tech Montgomery Exec","BCB"
10509,"Bear Creek Airport","BCC"
10510,"Bacolod Airport","BCD"
10511,"Bryce Canyon Airport","BCE"
10512,"Baucau Airport","BCH"
10513,"Barcaldine Airport","BCI"
10514,"Baca Grande","BCJ"
10515,"Barra del Colorado Airport","BCL"
10516,"Bacau Airport","BCM"
10517,"Barcelona Airport","BCN"
10518,"Southern Seaplane","BCS"
10519,"Boca Raton Public","BCT"
10520,"Bulchi Airport","BCY"
10521,"Bermuda International","BDA"
10522,"Bundaberg Airport","BDB"
10523,"Baudette International","BDE"
10524,"Blanding Municipal","BDG"
10525,"Bandar Lengeh Airport","BDH"
10526,"Bird Island Airport","BDI"
10527,"Syamsudin Noor","BDJ"
10528,"Bondoukou/Soko","BDK"
10529,"Bradley International","BDL"
10530,"Bandirma Airport","BDM"
10531,"Talhar","BDN"
10532,"Husein Sastranegara","BDO"
10533,"Chandragadhi","BDP"
10534,"Baroda Airport","BDQ"
10535,"Bridgeport Sikorsky","BDR"
10536,"Brindisi Airport","BDS"
10537,"Bardufoss Airport","BDU"
10538,"Bandon State","BDY"
10539,"Benbecula Airport","BEB"
10540,"Laurence G Hanscom Field","BED"
10541,"Bluefields Airport","BEF"
10542,"Belgrade International","BEG"
10543,"Ross Field","BEH"
10544,"Beica Airport","BEI"
10545,"Val de Cans International","BEL"
10547,"Benina","BEN"
10548,"Aeropelican","BEO"
10549,"Berlin Metropolitan Area","BER"
10550,"Brest Bretagne","BES"
10551,"Bethel Airport","BET"
10552,"Bedourie North","BEU"
10553,"Teyman","BEV"
10554,"Beira Airport","BEW"
10555,"Beirut International","BEY"
10556,"Blue Fox Bay Airport","BFB"
10557,"Bradford Regional","BFD"
10558,"Western Neb. Regional/William B. Heilig Field","BFF"
10559,"Boeing Field/King County International","BFI"
10560,"Buckley AFB","BFK"
10561,"Meadows Field","BFL"
10562,"Mobile Aerospace","BFM"
10563,"Bloemfontein International","BFN"
10564,"Buffalo Range Airport","BFO"
10565,"Beaver County","BFP"
10566,"Bahia de Pinas Airport","BFQ"
10567,"Virgil I Grissom Municipal","BFR"
10568,"Aldergrove","BFS"
10569,"Beaufort County","BFT"
10570,"Palonegro","BGA"
10571,"Booue Airport","BGB"
10572,"Hutchinson County","BGD"
10573,"Decatur County Industrial Air Park","BGE"
10574,"Bangui-M'Poko","BGF"
10575,"Grantley Adams International","BGI"
10576,"Baglung Airport","BGL"
10577,"Greater Binghamton/Edwin A. Link Field","BGM"
10578,"Bruggen Airport","BGN"
10579,"Flesland","BGO"
10580,"Big Lake Airport","BGQ"
10581,"Bangor International","BGR"
10582,"Big Spring McMahon-Wrinkle","BGS"
10583,"Bagdad Airport","BGT"
10584,"Bangassou Airport","BGU"
10585,"Al Muthana","BGW"
10586,"Comandante Gustavo Kraemer","BGX"
10587,"Bergamo Orio Al Serio","BGY"
10588,"Isa AB","BH1"
10589,"Hancock County-Bar Harbor","BHB"
10590,"Laughlin Bullhead International","BHC"
10591,"Belfast City","BHD"
10592,"Woodbourne","BHE"
10593,"Araslaya","BHG"
10594,"Bisha Airport","BHH"
10595,"Comandante Espora","BHI"
10596,"Bhuj Airport","BHJ"
10597,"Bukhara Airport","BHK"
10598,"Bahia de Los Angeles North","BHL"
10599,"Birmingham Airport","BHM"
10600,"Beihan Airport","BHN"
10601,"Bhopal Airport","BHO"
10602,"Broken Hill Airport","BHQ"
10603,"Bharatpur Airport","BHR"
10604,"Bathurst Airport","BHS"
10605,"Brighton Downs Airport","BHT"
10606,"Bhavnagar Airport","BHU"
10607,"Bahawalpur International","BHV"
10608,"Birmingham Airport","BHX"
10609,"Beihai Airport","BHY"
10610,"Belo Horizonte Metropolitan Area","BHZ"
10611,"Bastia Poretta","BIA"
10612,"Big Creek Airport","BIC"
10613,"Block Island State","BID"
10614,"Beatrice Municipal","BIE"
10615,"Biggs AAF","BIF"
10616,"Allen AAF","BIG"
10617,"Bishop Airport","BIH"
10618,"Bikini Atoll Airport","BII"
10619,"Manuhua","BIK"
10620,"Billings Logan International","BIL"
10621,"Bimini International","BIM"
10622,"Bamyan Airport","BIN"
10623,"Bilbao Airport","BIO"
10624,"Bulimba Airport","BIP"
10625,"Anglet","BIQ"
10626,"Biratnagar Airport","BIR"
10627,"Bismarck Municipal","BIS"
10628,"Bria Airport","BIV"
10629,"Keesler AFB","BIX"
10630,"Rocky Mountain Metro","BJC"
10631,"Bemidji Municipal","BJI"
10632,"Wayne County","BJJ"
10633,"Banjul International","BJL"
10634,"Bujumbura International","BJM"
10635,"Bahir Dar Airport","BJR"
10636,"Bajura Airport","BJU"
10637,"Imsik","BJV"
10638,"Guanajuato International","BJX"
